Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18491264,2675,1,87,8035,1019,1072,77.124247,28.6368424,403,500,4,0,0,0,0,2,0.0,4,3,1
18455547,3251,1,87,8571,1019,1072,77.1194054,28.634274,1306,200,4,0,0,0,0,1,0.0,4,3,0
18291456,3454,1,87,8756,1019,1072,77.105132,28.6407295,828,100,4,0,0,0,0,1,0.0,4,3,0
18472660,3498,1,87,2410,1019,1072,0.0,0.0,549,150,4,0,0,0,0,1,0.0,4,3,0
310255,3680,1,87,1743,1019,1072,77.1126049,28.634155,177,100,4,0,0,0,0,1,0.0,4,3,1
18366008,3908,1,87,2895,1019,1072,77.1181788,28.6360349,1235,100,4,0,0,0,0,1,0.0,4,3,0
18462257,4245,1,87,7571,1019,1072,0.0,0.0,497,200,4,0,0,0,0,1,0.0,4,3,0
18312627,4520,1,87,5762,1019,1072,77.1135938,28.6342502,828,300,4,0,0,0,0,1,0.0,4,3,0
18492103,4535,1,87,2167,1019,1072,77.1145378,28.6369833,1514,500,4,0,0,0,0,2,0.0,4,3,0
18431145,5169,1,87,6532,1019,1072,77.1055921,28.6392123,1749,100,4,0,0,0,0,1,0.0,4,3,0
18430909,5211,1,87,8852,1019,1072,77.1055022,28.640368,1306,100,4,0,0,0,0,1,0.0,4,3,1
18198821,5230,1,87,2895,1019,1072,77.1183778,28.636237,1749,100,4,0,0,0,0,1,0.0,4,3,1
18430905,5232,1,87,8837,1019,1072,77.1079298,28.6360338,1749,50,4,0,0,0,0,1,0.0,4,3,0
18430907,5251,1,87,1310,1019,1072,77.1090147,28.6350391,1306,200,4,0,0,0,0,1,0.0,4,3,0
18451597,5543,1,87,303,1019,1072,77.1212104,28.637075,1650,350,4,0,0,0,0,1,0.0,4,3,0
